question,answer,detailed,
"A customer relationship management (CRM) application runs on Amazon EC2 instances in multiple Availability Zones behind an Application Load Balancer.

If one of these instances fails, what occurs?

    A) The load balancer will stop sending requests to the failed instance.
    B) The load balancer will terminate the failed instance.
    C) The load balancer will automatically replace the failed instance.
    D) The load balancer will return 504 Gateway Timeout errors until the instance is replaced.",A, An Application Load Balancer (ALB) sends requests to healthy instances only. An ALB performs periodic health checks on targets in a target group. An instance that fails health checks for a configurable number of consecutive times is considered unhealthy. The load balancer will no longer send requests to the instance until it passes another health check.,

"A company needs to perform asynchronous processing, and has Amazon SQS as part of a decoupled architecture. The company wants to ensure that the number of empty responses from polling requests are kept to a minimum.

What should a solutions architect do to ensure that empty responses are reduced?

    A) Increase the maximum message retention period for the queue.
    B) Increase the maximum receives for the redrive policy for the queue.
    C) Increase the default visibility timeout for the queue.
    D) Increase the receive message wait time for the queue.",D,"When the ReceiveMessageWaitTimeSeconds property of a queue is set to a value greater than zero, long polling is in effect. Long polling reduces the number of empty responses by allowing Amazon SQS to wait until a message is available before sending a response to a ReceiveMessage request.",

"A company currently stores data for on-premises applications on local drives. The chief technology officer wants to reduce hardware costs by storing the data in Amazon S3 but does not want to make modifications to the applications. To minimize latency, frequently accessed data should be available locally.

What is a reliable and durable solution for a solutions architect to implement that will reduce the cost of local storage?

    A) Deploy an SFTP client on a local server and transfer data to Amazon S3 using AWS Transfer for SFTP.
    B) Deploy an AWS Storage Gateway volume gateway configured in cached volume mode.
    C) Deploy an AWS DataSync agent on a local server and configure an S3 bucket as the destination.
    D) Deploy an AWS Storage Gateway volume gateway configured in stored volume mode.",B,"An AWS Storage Gateway volume gateway connects on on-premises software application with cloudbacked storage volumes that can be mounted as Internet Small Computer System Interface (iSCSI) devices from on-premises application servers. In cached volumes mode, all the data is stored in Amazon S3 and a copy of frequently accessed data is stored locally.",

"A company runs a public-facing three-tier web application in a VPC across multiple Availability Zones. Amazon EC2 instances for the application tier running in private subnets need to download software patches from the internet. However, the instances cannot be directly accessible from the internet.

Which actions should be taken to allow the instances to download the needed patches? (Select TWO.)

    A) Configure a NAT gateway in a public subnet.
    B) Define a custom route table with a route to the NAT gateway for internet traffic and associate it with the private subnets for the application tier.
    C) Assign Elastic IP addresses to the application instances.
    D) Define a custom route table with a route to the internet gateway for internet traffic and associate it with the private subnets for the application tier.
    E) Configure a NAT instance in a private subnet.",A B,"A NAT gateway forwards traffic from the instances in the private subnet to the internet or other AWS services, and then sends the response back to the instances. After a NAT gateway is created, the route tables for private subnets must be updated to point internet traffic to the NAT gateway.",

"A solutions architect wants to design a solution to save costs for Amazon EC2 instances that do not need to run during a 2-week company shutdown. The applications running on the instances store data in instance memory (RAM) that must be present when the instances resume operation.

Which approach should the solutions architect recommend to shut down and resume the instances?

    A) Modify the application to store the data on instance store volumes. Reattach the volumes while restarting them.
    B) Snapshot the instances before stopping them. Restore the snapshot after restarting the instances.
    C) Run the applications on instances enabled for hibernation. Hibernate the instances before the shutdown.
    D) Note the Availability Zone for each instance before stopping it. Restart the instances in the same Availability Zones after the shutdown.",C,"Hibernating an instance saves the contents of RAM to the Amazon EBS root volume. When the instance restarts, the RAM contents are reloaded.",

"A company plans to run a monitoring application on an Amazon EC2 instance in a VPC. Connections are made to the instance using its private IPv4 address. A solutions architect needs to design a solution that will allow traffic to be quickly directed to a standby instance if the application fails and becomes unreachable.

Which approach will meet these requirements?

    A) Deploy an Application Load Balancer configured with a listener for the private IP address and register the primary instance with the load balancer. Upon failure, de-register the instance and register the secondary instance.
    B) Configure a custom DHCP option set. Configure DHCP to assign the same private IP address to the secondary instance when the primary instance fails.
    C) Attach a secondary elastic network interface (ENI) to the instance configured with the private IP address. Move the ENI to the standby instance if the primary instance becomes unreachable.
    D) Associate an Elastic IP address with the network interface of the primary instance. Disassociate the Elastic IP from the primary instance upon failure and associate it with a secondary instance.",C,"A secondary ENI can be added to an instance. While primary ENIs cannot be detached from an instance, secondary ENIs can be detached and attached to a different instance.",

"An analytics company is planning to offer a site analytics service to its users. The service will require that the users’ webpages include a JavaScript script that makes authenticated GET requests to the company’s Amazon S3 bucket.

What must a solutions architect do to ensure that the script will successfully execute?

    A) Enable cross-origin resource sharing (CORS) on the S3 bucket.
    B) Enable S3 versioning on the S3 bucket.
    C) Provide the users with a signed URL for the script.
    D) Configure a bucket policy to allow public execute privileges.",A,Web browsers will block the execution of a script that originates from a server with a different domain name than the webpage. Amazon S3 can be configured with CORS to send HTTP headers that allow the script execution.,

"A company’s security team requires that all data stored in the cloud be encrypted at rest at all times using encryption keys stored on-premises.

Which encryption options meet these requirements? (Select TWO.)

    A) Use Server-Side Encryption with Amazon S3 Managed Keys (SSE-S3).
    B) Use Server-Side Encryption with AWS KMS Managed Keys (SSE-KMS).
    C) Use Server-Side Encryption with Customer Provided Keys (SSE-C).
    D) Use client-side encryption to provide at-rest encryption.
    E) Use an AWS Lambda function triggered by Amazon S3 events to encrypt the data using the customer’s keys.",C D,Server-Side Encryption with Customer-Provided Keys (SSE-C) enables Amazon S3 to encrypt objects server side using an encryption key provided in the PUT request. The same key must be provided in GET requests for Amazon S3 to decrypt the object. Customers also have the option to encrypt data client side before uploading it to Amazon S3 and decrypting it after downloading it. AWS SDKs provide an S3 encryption client that streamlines the process.,

"A company needs to maintain access logs for a minimum of 5 years due to regulatory requirements. The data is rarely accessed once stored, but must be accessible with one day’s notice if it is needed.

What is the MOST cost-effective data storage solution that meets these requirements?

    A) Store the data in Amazon S3 Glacier Deep Archive storage and delete the objects after 5 years using a lifecycle rule.
    B) Store the data in Amazon S3 Standard storage and transition to Amazon S3 Glacier after 30 days using a lifecycle rule.
    C) Store the data in logs using Amazon CloudWatch Logs and set the retention period to 5 years.
    D) Store the data in Amazon S3 Standard-Infrequent Access (S3 Standard-IA) storage and delete the objects after 5 years using a lifecycle rule.",A,Data can be stored directly in Amazon S3 Glacier Deep Archive. This is the cheapest S3 storage class.,

"A company uses Reserved Instances to run its data-processing workload. The nightly job typically takes 7 hours to run and must finish within a 10-hour time window. The company anticipates temporary increases in demand at the end of each month that will cause the job to run over the time limit with the capacity of the current resources. Once started, the processing job cannot be interrupted before completion. The company wants to implement a solution that would allow it to provide increased capacity as cost-effectively as possible.

What should a solutions architect do to accomplish this?

    A) Deploy On-Demand Instances during periods of high demand.
    B) Create a second Amazon EC2 reservation for additional instances.
    C) Deploy Spot Instances during periods of high demand.
    D) Increase the instance size of the instances in the Amazon EC2 reservation to support the increased workload",A,"While Spot Instances would be the least costly option, they are not suitable for jobs that cannot be interrupted or must complete within a certain time period. On-Demand Instances would be billed for the number of seconds they are running.",

"You would like to make sure your EC2 instances have the highest performance while talking to each other as you're performing big data analysis. Which placement group should you choose?

    a) cluster
    b) spread",a,Cluster placement groups places your instances next to each other giving you high performance computing and networking,

"You plan on running an open-source MongoDB database year-round on EC2. Which instance launch mode should you choose?

    a) On-Demand
    b) Reserved Instances
    c) Spot Instances",b,This will allow you to save cost as you know in advance that the instance will be a up for a full year,

"You built and published an AMI in the ap-southeast-2 region, and your colleague in us-east-1 region cannot see it

    a) Their IAM permissions are wrong.
    b) an AMI created for a region can only be seen in that region
    c) You need to share the AMI with them explicitly",b,Good job!,

"You are launching an EC2 instance in us-east-1 using this Python script snippet:
(we will see SDK in a later section, for now just look at the code reference ImageId)
    ec2.create_instances(ImageId='ami-b23a5e7', MinCount=1, MaxCount=1)

It works well, so you decide to deploy your script in us-west-1 as well. There, the script does not work and fails with 'ami not found' error. What's the problem?

    a) AMI is region locked and the same ID cannot be used across regions
    b) The AMI needs to first be shared to another region. The same ID can then be used",a,Good Job!,

"You would like to deploy a database technology and the vendor license bills you based on the physical cores and underlying network socket visibility. Which EC2 launch modes allow you to get visibility into them?

    a) Spot Instances
    b) Dedicated Hosts
    c) On-Demand
    d) Reserved Instances",b,Good Job!,

"You are launching an application on EC2 and the whole process of installing the application takes about 30 minutes. You would like to minimize the total time for your instance to boot up and be operational to serve traffic. What do you recommend?

    a) Install the application using EC2 User Data
    b) Create an AMI after installing the application and launch from the AMI
    c) Use the EC2 Cluster Placement Group
    d) Provision an R4.xlarge instance type",b,"Creating an AMI after installing the applications allows you to start more EC2 instances directly from that AMI, hence bypassing the need to install the application (as it's already installed)",

"You are running a critical workload of three hours per week, on Monday. As a solutions architect, which EC2 Instance Launch Type should you choose to maximize the cost savings while ensuring the application stability?

    a) On-Demand Instances
    b) Reserved Instances
    c) Spot Instances
    d) Scheduled Reserved Instances",d,Good Job!,

"Load Balancers provide a

    a) static IPv4 we can use in our application
    b) static DNS name we can use in our application
    c) static IPv6 we can use in our application",b,"The reason being that AWS wants your load balancer to be accessible using a static endpoint, even if the underlying infrastructure that AWS manages changes",

"You are running a website with a load balancer and 10 EC2 instances. Your users are complaining about the fact that your website always asks them to re-authenticate when they switch pages. You are puzzled, because it's working just fine on your machine and in the dev environment with 1 server. What could be the reason?

    a) The application must have a bug
    b) The Load Balancer does not have stickiness enabled
    c) The EC2 instances log out users because they don't see their true IPs",b,Stickiness ensures traffic is sent to the same backend instance for a client. This helps maintaining session data,

"Your application is using an Application Load Balancer. It turns out your application only sees traffic coming from private IP which are in fact your load balancer's. What should you do to find the true IP of the clients connected to your website?

    a) Modify the front-end of the website so that the users send their IP in the requests
    b) Look into the X-Forwarded-For header in the backend
    c) Look into the X-Forwarded-Proto header in the backend",b,This header is created by your load balancer and passed on to your backend application,

"You quickly created an ELB and it turns out your users are complaining about the fact that sometimes, the servers just don't work. You realise that indeed, your servers do crash from time to time. How to protect your users from seeing these crashes?

    a) Enable Stickiness
    b) Enable Health Checks
    c) Enable SSL Termination",b,Health checks ensure your ELB won't send traffic to unhealthy (crashed) instances,

"You are designing a high performance application that will require millions of connections to be handled, as well as low latency. The best Load Balancer for this is

    a) Application Load Balancer
    b) Classic Load Balancer
    c) Network Load Balancer",c,NLB provide the highest performance if your application needs it,

"Application Load Balancers handle all these protocols except

    a) HTTP
    b) HTTPS
    c) Websocket
    d) TCP",d,Use a NLB (Network Load Balancer) support TCP instead,

"The application load balancer can route to different target groups based on all these except...

    a) Hostname
    b) Request Path
    c) Geography
    d) Source IP",c,Nice!,

"You are running at desired capacity of 3 and the maximum capacity of 3. You have alarms set at 60% CPU to scale out your application. Your application is now running at 80% capacity. What will happen?

    a) Nothing
    b) The desired capacity will go up to 4 and the maximum will stay at 3
    c) The desired capacity will go up to 4 and the maximum will stay at 4",a,The capacity of your ASG cannot go over the maximum capacity you have allocated during scale out events,

"I have an ASG and an ALB, and I setup my ASG to get health status of instances thanks to my ALB. One instance has just been reported unhealthy. What will happen?

    a) The ASG will keep the instance running and re-start the application
    b) The ASG will detach the EC2 instance from the group, and leave it running
    c) The ASG will terminate the EC2 Instance",c,"Because the ASG has been configured to leverage the ALB health checks, unhealthy instances will be terminated",

"Your boss wants to scale your ASG based on the number of requests per minute your application makes to your database.

    a) You politely tell him it's impossible
    b) You create a CloudWatch custom metric and build an alarm on this to scale your ASG
    c) You enable detailed monitoring and use that to scale your ASG",b,"The metric requests per minute"" is not an AWS metric"," hence it needs to be a custom metric"""

"Scaling an instance from an r4.large to an r4.4xlarge is called

    a) Horizontal Scalability
    b) Vertical Scalability",b,Nice!,

"Running an application on an auto scaling group that scales the number of instances in and out is called

    a) Vertical Scalability
    b) Horizontal Scalability",b,Good Job!,

"You would like to expose a fixed static IP to your end-users for compliance purposes, so they can write firewall rules that will be stable and approved by regulators. Which Load Balancer should you use?

    a) Application Load Balancer with Elastic IP attached to it
    b) Network Load Balancer
    c) Classic Load Balancer",b,"Network Load Balancers expose a public static IP, whereas an Application or Classic Load Balancer exposes a static DNS (URL)",

"A web application hosted in EC2 is managed by an ASG. You are exposing this application through an Application Load Balancer. The ALB is deployed on the VPC with the following CIDR: 192.168.0.0/18. How do you configure the EC2 instance security group to ensure only the ALB can access the port 80?

    a) Open up the EC2 security group on port 80 to 0.0.0.0/0
    b) Open up the EC2 security group on port 80 to 192.168.0.0/18
    c) Open up the EC2 security on port 80 to the ALB's security group
    d) Load an SSL client certificate on the ALB",c,This is the most secure way of ensuring only the ALB can access the EC2 instances. Referencing by security groups in rules is an extremely powerful rule and many questions at the exam rely on it. Make sure you fully master the concepts behind it!,

"Your application load balancer is hosting 3 target groups with hostnames being users.example.com, api.external.example.com and checkout.example.com. You would like to expose HTTPS traffic for each of these hostnames. How do you configure your ALB SSL certificates to make this work?

    a) Use SNI
    b) Use a wildcard SSL certificate
    c) Use an HTTP to HTTPS redirect rule
    d) Use a security group SSL certificate",a,SNI (Server Name Indication) is a feature allowing you to expose multiple SSL certs if the client supports it. Read more here: https://aws.amazon.com/blogs/aws/new-application-load-balancer-sni/,

"An ASG spawns across 2 availability zones. AZ-A has 3 EC2 instances and AZ-B has 4 EC2 instances. The ASG is about to go into a scale-in event. What will happen?

    a) The AZ-A will terminate an instance randomly
    b) The AZ-A will terminate the instance with the oldest launch configuration
    c) The AZ-B will terminate the instance with the oldest launch configuration
    d) The AZ-B will terminate an instance randomly
    e) The AZ-A will create an EC2 instance.",c,"Make sure you remember the Default Termination Policy for ASG. It tries to balance across AZ first, and then delete based on the age of the launch configuration.",

"The Application Load Balancers target groups can be all of these EXCEPT...

    a) EC2 Instances
    b) IP Adresses
    c) Lambda Functions
    d) Network Load Balancer",d,Good Job!,

"You are running an application in 3 AZ, with an Auto Scaling Group and a Classic Load Balancer. It seems that the traffic is not evenly distributed amongst all the backend EC2 instances, with some AZ being overloaded. Which feature should help distribute the traffic across all the available EC2 instances?

    a) Stickiness
    b) Cross Zone Load Balancing
    c) Target Group Routing Rules
    d) HTTPS termination",b,Yes!,

"Your Application Load Balancer (ALB) currently is routing to two target groups, each of them is routed to based on hostname rules. You have been tasked with enabling HTTPS traffic for each hostname and have loaded the certificates onto the ALB. Which ALB feature will help it choose the right certificate for your clients?

    a) TLS Termination
    b) Server Name Indication (SNI)
    c) SSL Security Policies
    d) Host Header",b,Good!,

"An application is deployed with an Application Load Balancer and an Auto Scaling Group. Currently, the scaling of the Auto Scaling Group is done manually and you would like to define a scaling policy that will ensure the average number of connections to your EC2 instances is averaging at around 1000. Which scaling policy should you use?

    a) Simple Scaling Policy
    b) Step Scaling Policy
    c) Target Tracking
    d) Scheduled Scaling",c,Good!,

"Your instance in us-east-1a just got terminated, and the attached EBS volume is now available. Your colleague tells you he can't seem to attach it to your instance in us-east-1b.

    a) He's missing IAM permissions
    b) EBS volumes are region locked
    c) EBS volumes are AZ locked",c,EBS Volumes are created for a specific AZ. It is possible to migrate them between different AZ through backup and restore,

"You have provisioned an 8TB gp2 EBS volume and you are running out of IOPS. What is NOT a way to increase performance?

    a) Increase the EBS volume size
    b) Mount EBS volumes in RAID 0
    c) Change to an io1 volume type",a,"EBS IOPS peaks at 16,000 IOPS. or equivalent 5334 GB.",

"You would like to leverage EBS volumes in parallel to linearly increase performance, while accepting greater failure risks. Which RAID mode helps you in achieving that?

    a) RAID 0
    b) RAID 1
    c) RAID 5
    d) RAID 6",a,See https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/raid-config.html,

"Although EBS is already a replicated solution, your company SysOps advised you to use a RAID mode that will mirror data and will allow your instance to not be affected if an EBS volume entirely fails. Which RAID mode did he recommend to you?

    a) RAID 0
    b) RAID 1",b,See https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/raid-config.html,

"You would like to have the same data being accessible as an NFS drive cross AZ on all your EC2 instances. What do you recommend?

    a) Mount an EFS
    b) Mount an EBS
    c) Mount an Instance Store",a,EFS is a network file system (NFS) and allows to mount the same file system on EC2 instances that are in different AZ,

"You would like to have a high-performance cache for your application that mustn't be shared. You don't mind losing the cache upon termination of your instance. Which storage mechanism do you recommend as a Solution Architect?

    a) Instance Store
    b) EBS
    c) EFS",a,Instance Store provide the best disk performance,

